measure_id,condition,condition_label,n_trials,n_components_per_output,n_claims_per_output,claim_weighted_preservation,claim_weighted_preservation_sd_across_trials,component_weighted_preservation,component_weighted_preservation_sd_across_trials,mean_component_distortion_severity,mean_component_distortion_severity_sd_across_trials,any_distortion_rate,any_distortion_rate_sd_across_trials,material_distortion_rate,material_distortion_rate_sd_across_trials
M02,critic_debate,Critic debate,4,65,22,0.8215909090909091,0.061838788900431804,0.8076923076923077,0.04783271309276314,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.03076923076923077,0.0,0.0
M02,independent_ensemble,Independent ensemble,4,65,22,0.7096590909090909,0.021732215250073846,0.6923076923076923,0.02512297172085311,0.0,0.0,0.0,0.0,0.0,0.0
M02,normal_debate,Normal debate,4,65,22,0.7225378787878787,0.03070051805750321,0.7038461538461539,0.038461538461538436,0.015384615384615385,0.02175713172881685,0.015384615384615385,0.02175713172881685,0.0,0.0
M02,single_agent,Single agent,4,65,22,0.6628787878787878,0.042805823632818825,0.6615384615384615,0.0435142634576337,0.0038461538461538464,0.007692307692307693,0.0038461538461538464,0.007692307692307693,0.0,0.0
M03,critic_debate,Critic debate,4,58,17,0.854516806722689,0.054775380361803606,0.8318965517241379,0.07091357861639692,0.03879310344827586,0.05696617126896267,0.03879310344827586,0.05696617126896267,0.0,0.0
M03,independent_ensemble,Independent ensemble,4,58,17,0.8567577030812324,0.022072454401592875,0.8060344827586207,0.03263740428620848,0.04310344827586207,0.05172413793103448,0.04310344827586207,0.05172413793103448,0.0,0.0
M03,normal_debate,Normal debate,4,58,17,0.8683473389355743,0.04245030036104314,0.8189655172413792,0.053605626741889706,0.02586206896551724,0.05172413793103448,0.02586206896551724,0.05172413793103448,0.0,0.0
M03,single_agent,Single agent,4,58,17,0.8559173669467787,0.10664260622947153,0.853448275862069,0.11305928490175866,0.0,0.0,0.0,0.0,0.0,0.0
M04,critic_debate,Critic debate,4,12,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M04,independent_ensemble,Independent ensemble,4,12,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M04,normal_debate,Normal debate,4,12,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M04,single_agent,Single agent,4,12,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M05,critic_debate,Critic debate,4,64,17,0.8183823529411764,0.013211064725945864,0.828125,0.01275775907699572,0.0546875,0.073840869160197,0.0546875,0.073840869160197,0.0,0.0
M05,independent_ensemble,Independent ensemble,4,64,17,0.6735294117647059,0.025174006761530417,0.6796875,0.020171788261496962,0.0234375,0.046875,0.0234375,0.046875,0.0,0.0
M05,normal_debate,Normal debate,4,64,17,0.6752450980392156,0.023466350680302426,0.6796875,0.020171788261496962,0.0234375,0.03719493973199401,0.0234375,0.03719493973199401,0.0,0.0
M05,single_agent,Single agent,4,64,17,0.675,0.023699007528517484,0.6796875,0.029919597117385566,0.0,0.0,0.0,0.0,0.0,0.0
M06,critic_debate,Critic debate,4,29,9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M06,independent_ensemble,Independent ensemble,4,29,9,0.9930555555555556,0.013888888888888895,0.9913793103448276,0.017241379310344807,0.0,0.0,0.0,0.0,0.0,0.0
M06,normal_debate,Normal debate,4,29,9,0.9722222222222223,0.03207501495497923,0.9655172413793103,0.039817259944112136,0.0,0.0,0.0,0.0,0.0,0.0
M06,single_agent,Single agent,4,29,9,0.9930555555555556,0.013888888888888895,0.9913793103448276,0.017241379310344807,0.0,0.0,0.0,0.0,0.0,0.0
M07,critic_debate,Critic debate,4,22,8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M07,independent_ensemble,Independent ensemble,4,22,8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M07,normal_debate,Normal debate,4,22,8,0.9921875,0.015625,0.9886363636363636,0.022727272727272707,0.0,0.0,0.0,0.0,0.0,0.0
M07,single_agent,Single agent,4,22,8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M08,critic_debate,Critic debate,4,28,9,0.9888888888888889,0.01283000598199164,0.9821428571428572,0.020619652471058052,0.026785714285714284,0.03419382527701207,0.026785714285714284,0.03419382527701207,0.0,0.0
M08,independent_ensemble,Independent ensemble,4,28,9,0.9722222222222222,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M08,normal_debate,Normal debate,4,28,9,0.9805555555555556,0.02625453125695894,0.9732142857142858,0.034193825277012056,0.008928571428571428,0.017857142857142856,0.008928571428571428,0.017857142857142856,0.0,0.0
M08,single_agent,Single agent,4,28,9,0.9254629629629629,0.06080873565501579,0.9107142857142857,0.06838765055402417,0.04464285714285714,0.03419382527701207,0.04464285714285714,0.03419382527701207,0.0,0.0
M09,critic_debate,Critic debate,4,25,10,0.9666666666666666,0.0,0.96,0.0,0.060000000000000005,0.023094010767585032,0.04,0.0,0.02,0.023094010767585032
M09,independent_ensemble,Independent ensemble,4,25,10,0.9749999999999999,0.01666666666666672,0.97,0.020000000000000018,0.05,0.038297084310253526,0.03,0.02,0.02,0.023094010767585032
M09,normal_debate,Normal debate,4,25,10,0.9666666666666666,0.0,0.96,0.0,0.04,0.0,0.04,0.0,0.0,0.0
M09,single_agent,Single agent,4,25,10,0.9583333333333333,0.016666666666666663,0.95,0.019999999999999966,0.060000000000000005,0.023094010767585032,0.05,0.02,0.01,0.02
M10,critic_debate,Critic debate,4,31,11,0.9034090909090909,0.011363636363636354,0.9274193548387096,0.016129032258064502,0.03225806451612903,0.026338599384765352,0.03225806451612903,0.026338599384765352,0.0,0.0
M10,independent_ensemble,Independent ensemble,4,31,11,0.8863636363636364,0.03214121732666122,0.9112903225806451,0.016129032258064502,0.06451612903225806,0.026338599384765352,0.056451612903225805,0.016129032258064516,0.008064516129032258,0.016129032258064516
M10,normal_debate,Normal debate,4,31,11,0.8693181818181819,0.011363636363636354,0.9032258064516129,0.0,0.056451612903225805,0.016129032258064516,0.056451612903225805,0.016129032258064516,0.0,0.0
