measure_id,trial_id,trial_number,blind_id,condition,condition_label,claim_weighted_preservation,component_weighted_preservation,mean_component_distortion_severity,any_distortion_rate,material_distortion_rate,n_claims,n_components
M02,M02-trial04,4,M02-B001,independent_ensemble,Independent ensemble,0.7106060606060606,0.6923076923076923,0.0,0.0,0.0,22,65
M02,M02-trial01,1,M02-B002,independent_ensemble,Independent ensemble,0.7068181818181819,0.6923076923076923,0.0,0.0,0.0,22,65
M02,M02-trial02,2,M02-B003,normal_debate,Normal debate,0.7371212121212121,0.7230769230769231,0.0,0.0,0.0,22,65
M02,M02-trial02,2,M02-B004,critic_debate,Critic debate,0.8416666666666667,0.8153846153846154,0.0,0.0,0.0,22,65
M02,M02-trial01,1,M02-B005,single_agent,Single agent,0.6522727272727272,0.6307692307692307,0.015384615384615385,0.015384615384615385,0.0,22,65
M02,M02-trial03,3,M02-B006,single_agent,Single agent,0.631060606060606,0.6615384615384615,0.0,0.0,0.0,22,65
M02,M02-trial02,2,M02-B007,single_agent,Single agent,0.7257575757575757,0.7230769230769231,0.0,0.0,0.0,22,65
M02,M02-trial03,3,M02-B008,independent_ensemble,Independent ensemble,0.7371212121212121,0.7230769230769231,0.0,0.0,0.0,22,65
M02,M02-trial04,4,M02-B009,normal_debate,Normal debate,0.7371212121212121,0.7230769230769231,0.046153846153846156,0.046153846153846156,0.0,22,65
M02,M02-trial03,3,M02-B010,critic_debate,Critic debate,0.8734848484848484,0.8461538461538461,0.0,0.0,0.0,22,65
M02,M02-trial01,1,M02-B011,normal_debate,Normal debate,0.6765151515151515,0.6461538461538462,0.0,0.0,0.0,22,65
M02,M02-trial04,4,M02-B012,single_agent,Single agent,0.6424242424242425,0.6307692307692307,0.0,0.0,0.0,22,65
M02,M02-trial01,1,M02-B013,critic_debate,Critic debate,0.7318181818181819,0.7384615384615385,0.0,0.0,0.0,22,65
M02,M02-trial02,2,M02-B014,independent_ensemble,Independent ensemble,0.6840909090909091,0.6615384615384615,0.0,0.0,0.0,22,65
M02,M02-trial03,3,M02-B015,normal_debate,Normal debate,0.7393939393939394,0.7230769230769231,0.015384615384615385,0.015384615384615385,0.0,22,65
M02,M02-trial04,4,M02-B016,critic_debate,Critic debate,0.8393939393939394,0.8307692307692308,0.06153846153846154,0.06153846153846154,0.0,22,65
M03,M03-trial03,3,M03-B001,independent_ensemble,Independent ensemble,0.830532212885154,0.7586206896551724,0.0,0.0,0.0,17,58
M03,M03-trial03,3,M03-B002,normal_debate,Normal debate,0.9089635854341737,0.8620689655172413,0.0,0.0,0.0,17,58
M03,M03-trial02,2,M03-B003,single_agent,Single agent,0.7128851540616247,0.7068965517241379,0.0,0.0,0.0,17,58
M03,M03-trial04,4,M03-B004,normal_debate,Normal debate,0.8109243697478992,0.7413793103448276,0.0,0.0,0.0,17,58
M03,M03-trial04,4,M03-B005,independent_ensemble,Independent ensemble,0.8543417366946778,0.8103448275862069,0.10344827586206896,0.10344827586206896,0.0,17,58
M03,M03-trial03,3,M03-B006,single_agent,Single agent,0.8627450980392156,0.8275862068965517,0.0,0.0,0.0,17,58
M03,M03-trial04,4,M03-B007,single_agent,Single agent,0.9705882352941176,0.9655172413793104,0.0,0.0,0.0,17,58
M03,M03-trial02,2,M03-B008,critic_debate,Critic debate,0.8648459383753501,0.8103448275862069,0.0,0.0,0.0,17,58
M03,M03-trial02,2,M03-B009,independent_ensemble,Independent ensemble,0.8577030812324931,0.8275862068965517,0.0,0.0,0.0,17,58
M03,M03-trial04,4,M03-B010,critic_debate,Critic debate,0.7808123249299719,0.7413793103448276,0.1206896551724138,0.1206896551724138,0.0,17,58
M03,M03-trial01,1,M03-B011,single_agent,Single agent,0.8774509803921569,0.9137931034482759,0.0,0.0,0.0,17,58
M03,M03-trial02,2,M03-B012,normal_debate,Normal debate,0.8893557422969187,0.8448275862068966,0.0,0.0,0.0,17,58
M03,M03-trial01,1,M03-B013,independent_ensemble,Independent ensemble,0.884453781512605,0.8275862068965517,0.06896551724137931,0.06896551724137931,0.0,17,58
M03,M03-trial03,3,M03-B014,critic_debate,Critic debate,0.9131652661064426,0.896551724137931,0.0,0.0,0.0,17,58
M03,M03-trial01,1,M03-B015,normal_debate,Normal debate,0.8641456582633054,0.8275862068965517,0.10344827586206896,0.10344827586206896,0.0,17,58
M03,M03-trial01,1,M03-B016,critic_debate,Critic debate,0.8592436974789915,0.8793103448275862,0.034482758620689655,0.034482758620689655,0.0,17,58
M04,M04-trial04,4,M04-B001,single_agent,Single agent,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial03,3,M04-B002,normal_debate,Normal debate,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial01,1,M04-B003,independent_ensemble,Independent ensemble,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial04,4,M04-B004,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial04,4,M04-B005,independent_ensemble,Independent ensemble,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial04,4,M04-B006,normal_debate,Normal debate,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial02,2,M04-B007,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial03,3,M04-B008,single_agent,Single agent,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial02,2,M04-B009,independent_ensemble,Independent ensemble,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial03,3,M04-B010,independent_ensemble,Independent ensemble,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial03,3,M04-B011,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial01,1,M04-B012,normal_debate,Normal debate,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial01,1,M04-B013,single_agent,Single agent,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial02,2,M04-B014,single_agent,Single agent,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial02,2,M04-B015,normal_debate,Normal debate,1.0,1.0,0.0,0.0,0.0,5,12
M04,M04-trial01,1,M04-B016,critic_debate,Critic debate,1.0,1.0,0.0,0.0,0.0,5,12
M05,M05-trial03,3,M05-B001,normal_debate,Normal debate,0.7009803921568627,0.703125,0.015625,0.015625,0.0,17,64
M05,M05-trial02,2,M05-B002,independent_ensemble,Independent ensemble,0.7009803921568627,0.703125,0.0,0.0,0.0,17,64
M05,M05-trial04,4,M05-B003,independent_ensemble,Independent ensemble,0.6666666666666666,0.671875,0.0,0.0,0.0,17,64
M05,M05-trial04,4,M05-B004,single_agent,Single agent,0.6549019607843137,0.65625,0.0,0.0,0.0,17,64
M05,M05-trial01,1,M05-B005,independent_ensemble,Independent ensemble,0.642156862745098,0.65625,0.0,0.0,0.0,17,64
M05,M05-trial01,1,M05-B006,critic_debate,Critic debate,0.8215686274509804,0.828125,0.15625,0.15625,0.0,17,64
M05,M05-trial02,2,M05-B007,normal_debate,Normal debate,0.6470588235294117,0.65625,0.0,0.0,0.0,17,64
